Parameters:
 Namespace(case_num=2, config_num=181, interp_scale=4, interp_method='TORCH', fixed_dnn='RCAN', model='RCAN', n_resblocks=20, n_feats=64, res_scale=1, shift_mean=True, n_resgroups=10, reduction=16, rgb_range=255, n_colors=3, print_model=False, save_models=False, chop=False, self_ensemble=False, pre_train='../Learned_RCAN_Models/RCAN_BIX4.pt', alpha=7.5, epsilon=1.0, rho=1.0, tol=1e-05, maxiter_forward=200, miniter_forward=5, maxiter_backward=100, miniter_backward=5, beta=0.9, jac_regul=False, jac_loss_weight=1.0, jac_loss_freq=0.35, jac_incremental=3500, spectral_radius_mode=False, dncnn_frozen=False, dncnn_num_layers=6, dncnn_lip=0.9, dncnn_bias=False, dncnn_bn=False, dncnn_skip=False, dncnn_weight_file='../Learned_DNCNN_Models/T91/RealSN_DnCNN/Layers_6/BN_False/sigma_0.01250_0.02500/best.pth', dncnn_lr=0.0001, sigmaL=0.0625, sigmaH=0.125, optimizer='adam', lr=0.0001, alpha_lr=0.0001, decrease_lr=True, lr_step=60, lr_gamma=0.1, clip_grad=False, clip_norm=0.01, batch_size=512, num_epochs=80, num_workers=4, datasets_dir='../Data/', train_data='T91', eval_data='Set5', last_checkpoint='', best_weight_file='../Learned_DEQSR_Models/T91/RCAN/x3/Case_2/Config_180/best.pth', output_dir='../Learned_DEQSR_Models', seed=123, use_gpu=True, verbose=True, verbose2=True)
Epoch No	LR            	Loss          	Val_Loss      	DF            	PSNR      	SSIM      	Beta      
       0	1.00000000e-04	1.60347361e-03	6.45519391e-04	1.61214812e-01	32.66539955	0.90945219	5.20620346
Best Epoch:0 with PSNR: 32.6654
       1	1.00000000e-04	1.60526566e-03	6.46025990e-04	1.60524952e-01	32.66355757	0.90943691	5.20479774
       2	1.00000000e-04	1.60909152e-03	6.46744913e-04	1.69465172e-01	32.66125081	0.90941846	5.20370913
       3	1.00000000e-04	1.60228415e-03	6.47248060e-04	1.61488752e-01	32.65920938	0.90938905	5.20275974
       4	1.00000000e-04	1.60418087e-03	6.47767965e-04	1.61336750e-01	32.65728151	0.90938110	5.20203352
       5	1.00000000e-04	1.60558921e-03	6.47938106e-04	1.52548316e-01	32.65631190	0.90937815	5.20125532
       6	1.00000000e-04	1.60058597e-03	6.48445106e-04	1.62274930e-01	32.65449388	0.90936500	5.20092630
       7	1.00000000e-04	1.60204436e-03	6.48710842e-04	1.55261050e-01	32.65327043	0.90935272	5.20034313
       8	1.00000000e-04	1.60485616e-03	6.49091264e-04	1.53526263e-01	32.65153888	0.90933567	5.19989395
       9	1.00000000e-04	1.60097605e-03	6.49551558e-04	1.49012022e-01	32.64935302	0.90931409	5.19980574
      10	1.00000000e-04	1.59913389e-03	6.49900257e-04	1.47890061e-01	32.64787965	0.90930272	5.19946289
      11	1.00000000e-04	1.60330309e-03	6.49933034e-04	1.57571338e-01	32.64812151	0.90930957	5.19944382
      12	1.00000000e-04	1.60120912e-03	6.50278671e-04	1.50599459e-01	32.64638611	0.90929148	5.19968271
      13	1.00000000e-04	1.59885345e-03	6.50585297e-04	1.41588952e-01	32.64450923	0.90927710	5.20006037
      14	1.00000000e-04	1.60989649e-03	6.50604418e-04	1.47007009e-01	32.64489128	0.90928629	5.20017529
      15	1.00000000e-04	1.60261979e-03	6.50656765e-04	1.58987813e-01	32.64527037	0.90930020	5.20054770
      16	1.00000000e-04	1.59693631e-03	6.50646695e-04	1.53603882e-01	32.64500384	0.90929480	5.20099449
      17	1.00000000e-04	1.60281761e-03	6.50882290e-04	1.50783698e-01	32.64387485	0.90927745	5.20164156
      18	1.00000000e-04	1.59842255e-03	6.51417108e-04	1.45137893e-01	32.64129789	0.90924694	5.20180845
